127.0.0.1 - - [29/Dec/2022:12:55:39 +0900] "GET / HTTP/1.1" 200 6799
0:0:0:0:0:0:0:1 - - [29/Dec/2022:12:55:41 +0900] "GET / HTTP/1.1" 200 6799
0:0:0:0:0:0:0:1 - - [29/Dec/2022:12:55:41 +0900] "GET /jsp/ect/header.css HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [29/Dec/2022:12:55:41 +0900] "GET /jsp/ect/index.css HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [29/Dec/2022:12:55:41 +0900] "GET /jsp/ect/aside.css HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [29/Dec/2022:12:55:41 +0900] "GET /image/project0_1.JPG HTTP/1.1" 200 465338
0:0:0:0:0:0:0:1 - - [29/Dec/2022:12:55:41 +0900] "GET /image/project1_0.JPG HTTP/1.1" 200 176841
0:0:0:0:0:0:0:1 - - [29/Dec/2022:12:55:41 +0900] "GET /image/me2.jpg HTTP/1.1" 200 1251483
0:0:0:0:0:0:0:1 - - [29/Dec/2022:12:55:41 +0900] "GET /font/SpoqaHanSansNeo_TTF_original/SpoqaHanSansNeo-Regular.ttf HTTP/1.1" 200 13452464
0:0:0:0:0:0:0:1 - - [29/Dec/2022:12:55:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Dec/2022:12:55:45 +0900] "GET /image/project1_1.JPG HTTP/1.1" 200 170532
0:0:0:0:0:0:0:1 - - [29/Dec/2022:13:01:59 +0900] "GET / HTTP/1.1" 200 6799
0:0:0:0:0:0:0:1 - - [29/Dec/2022:13:02:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
